Time (s), Acceleration x (m/s^2), Acceleration y (m/s^2), Acceleration z (m/s^2), Angular velocity p (rad/s), Angular velocity q (rad/s), Angular velocity r (rad/s), Magnetic field x (muT), Magnetic field y (muT), Magnetic field z (muT), Roll angle phi (deg), Pitch angle theta (deg), Yaw angle psi (deg), GPS Latitude (DDMM.MMMM), GPS Longiude (DDMM.MMMM), GPS Altitude (cm), GPS Speed (knots), GPS Heading (deg), GPS Number of Satellites
0.081, -0.7845, 0.1177, 10.4343, -0.2068, 1.6003, -0.5962, -28.3636, -19.0909, -26.4286, 0.4197, 4.3986, 149.8708, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.108, -0.8238, 0.0785, 10.3951, 0.0124, 0.9001, 0.0050, -28.3636, -19.0909, -26.4286, 0.4324, 4.5308, 149.9707, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.128, -0.8238, 0.1177, 10.4735, 0.0101, 0.0338, 0.1252, -28.3636, -19.0909, -26.4286, 0.6437, 4.4969, 150.2026, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.147, -0.8238, 0.1177, 10.5127, -0.0150, 0.2130, -0.0254, -28.4545, -19.0000, -26.7347, 0.6413, 4.4802, 150.4245, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.172, -0.7845, 0.0785, 10.5127, -0.0024, 0.0909, 0.0079, -28.4545, -19.0000, -26.7347, 0.4324, 4.7456, 150.3399, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.191, -0.7453, 0.1177, 10.4343, -0.0014, 0.0732, -0.0147, -28.4545, -19.0000, -26.7347, 0.6511, 4.9788, 150.7489, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.210, -0.8630, 0.1961, 10.5520, -0.0035, 0.0930, -0.0087, -28.5455, -18.9091, -27.0408, 0.2154, 4.5140, 150.1595, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.229, -0.8630, 0.0785, 10.5127, -0.0034, 0.0845, -0.0111, -28.5455, -18.9091, -27.0408, 0.4276, 4.6927, 150.5324, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.254, -0.8630, 0.0785, 10.4735, -0.0021, 0.0858, -0.0107, -28.5455, -18.9091, -27.0408, 0.6319, 4.4145, 150.6052, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.273, -0.8630, 0.0392, 10.4343, -0.0035, 0.0880, -0.0111, -28.5455, -18.9091, -27.0408, 0.2130, 4.4638, 149.9647, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.292, -0.7845, 0.0785, 10.4343, -0.0035, 0.0811, -0.0125, -28.5455, -19.0000, -26.7347, 0.6319, 4.6239, 150.5720, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.318, -0.8630, 0.1177, 10.5127, -0.0037, 0.0887, -0.0095, -28.5455, -19.0000, -26.7347, 0.6413, 4.6926, 150.6265, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.336, -0.8238, 0.0785, 10.4735, -0.0038, 0.0883, -0.0144, -28.5455, -19.0000, -26.7347, 0.4292, 4.4970, 150.2462, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.356, -0.8630, 0.0392, 10.4343, -0.0044, 0.0878, -0.0098, -28.2727, -19.1818, -26.3265, 0.2154, 4.7280, 149.6357, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.381, -0.8630, 0.0785, 10.4735, -0.0041, 0.0864, -0.0095, -28.2727, -19.1818, -26.3265, 0.2146, 4.7103, 149.6235, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.400, -0.7845, 0.0000, 10.3558, -0.0044, 0.0851, -0.0073, -28.2727, -19.1818, -26.3265, 0.2114, 4.6411, 149.5755, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.419, -0.8238, 0.0785, 10.4343, -0.0043, 0.0904, -0.0116, -28.4545, -18.7273, -26.5306, 0.6413, 4.4802, 150.7595, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.439, -0.8630, 0.1177, 10.5127, -0.0043, 0.0869, -0.0118, -28.4545, -18.7273, -26.5306, 0.6390, 4.6752, 150.8783, 0.0000, 0.0000, 0.00, 0.00, 0.00, 0
0.465, -0.7845, 0.0785, 10.3951, -0.0031, 0.0857, -0.0122, -28.4545, -18.7273, -26.5306, 0.4324, 4.3159, 150.4014, 4216.4736, 7148.4175, 183.80, 0.00, 0.00, 3
0.485, -0.9022, 0.0785, 10.5127, -0.0009, 0.0809, -0.0125, -28.1818, -18.9091, -26.8367, 0.4276, 4.9050, 150.3663, 4216.4736, 7148.4175, 183.80, 0.00, 0.00, 3
0.505, -0.8238, 0.0000, 10.4735, -0.0026, 0.0849, -0.0127, -28.1818, -18.9091, -26.8367, 0.0000, 4.4972, 149.5851, 4216.4736, 7148.4175, 183.80, 0.00, 0.00, 3
0.530, -0.8238, 0.1177, 10.5127, -0.0043, 0.0880, -0.0089, -28.1818, -18.9091, -26.8367, 0.6366, 4.6580, 150.4638, 4216.4736, 7148.4175, 183.80, 0.00, 0.00, 3
0.551, -0.8630, 0.1177, 10.5127, -0.0009, 0.0846, -0.0153, -28.1818, -18.9091, -26.9388, 0.6437, 4.4969, 150.3843, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.571, -0.8630, 0.1569, 10.5520, -0.0052, 0.0877, -0.0073, -28.1818, -18.9091, -26.9388, 0.0000, 4.5310, 149.6199, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.600, -0.7845, 0.0392, 10.4343, -0.0053, 0.0835, -0.0096, -28.1818, -18.9091, -26.9388, 0.4292, 4.2837, 149.9798, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.619, -0.7845, 0.1177, 10.3951, -0.0040, 0.0884, -0.0107, -28.1818, -18.9091, -27.2449, 0.6437, 4.2835, 150.2895, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.638, -0.7845, 0.0785, 10.5912, -0.0027, 0.0909, -0.0122, -28.1818, -18.9091, -27.2449, 0.4276, 4.6927, 150.2895, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.665, -0.7845, 0.0000, 10.5127, -0.0024, 0.0864, -0.0122, -28.1818, -18.9091, -27.2449, 0.0000, 4.2679, 149.4797, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.685, -0.7845, 0.1177, 10.4343, -0.0032, 0.0867, -0.0107, -28.1818, -18.8182, -26.8367, 0.6462, 4.2996, 150.5044, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.704, -0.9022, 0.1177, 10.5127, -0.0029, 0.0843, -0.0125, -28.3636, -18.8182, -26.8367, 0.6413, 4.9049, 150.8822, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.724, -0.7845, 0.1177, 10.3558, -0.0041, 0.0858, -0.0093, -28.3636, -18.8182, -26.8367, 0.6511, 4.3320, 150.5314, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.750, -0.8238, 0.0785, 10.3951, -0.0035, 0.0887, -0.0108, -28.3636, -18.8182, -26.8367, 0.2146, 4.2838, 0.0000, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.778, -0.7845, 0.0785, 10.3951, -0.0035, 0.0849, -0.0128, -28.5455, -18.7273, -26.8367, 0.4324, 4.3159, 150.5111, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.808, -0.8238, 0.0392, 10.5127, -0.0031, 0.0866, -0.0104, -28.5455, -18.7273, -26.8367, 0.4292, 4.4970, 150.6231, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.835, -0.8630, 0.0785, 10.4735, -0.0038, 0.0866, -0.0098, -28.3636, -19.0000, -26.7347, 0.4292, 4.7102, 150.2454, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.855, -0.8630, 0.0785, 10.4343, -0.0038, 0.0872, -0.0090, -28.3636, -19.0000, -26.7347, 0.4308, 4.7279, 150.2585, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.875, -0.8630, 0.0785, 10.4343, -0.0041, 0.0880, -0.0108, -28.3636, -19.0000, -26.7347, 0.4308, 4.7279, 150.2585, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.901, -0.8630, 0.1177, 10.3951, -0.0032, 0.0881, -0.0122, -28.4545, -19.0000, -26.5306, 0.6462, 4.7277, 150.5555, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.920, -0.8630, 0.0785, 10.4735, -0.0027, 0.0893, -0.0115, -28.4545, -19.0000, -26.5306, 0.6437, 4.7101, 150.5416, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.941, -0.8238, 0.0785, 10.5520, -0.0037, 0.0886, -0.0110, -28.4545, -19.0000, -26.5306, 0.2138, 4.2679, 149.7432, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.966, -0.8630, 0.0785, 10.5127, -0.0021, 0.0870, -0.0110, -28.3636, -19.0000, -26.7347, 0.4276, 4.6927, 150.2323, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
0.987, -0.8630, 0.0785, 10.4343, -0.0038, 0.0896, -0.0099, -28.3636, -19.0000, -26.7347, 0.4308, 4.7279, 150.2585, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.006, -0.8238, 0.0785, 10.4343, -0.0043, 0.0858, -0.0104, -28.3636, -19.0000, -26.7347, 0.4308, 4.5139, 150.1216, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.032, -0.8238, 0.0392, 10.4735, -0.0026, 0.0843, -0.0116, -28.5455, -18.8182, -26.5306, 0.6437, 4.9231, 150.9820, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.052, -0.8238, 0.0785, 10.4343, -0.0038, 0.0855, -0.0076, -28.5455, -18.8182, -26.5306, 0.4244, 4.6581, 150.5551, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.072, -0.8238, 0.0785, 10.5127, -0.0029, 0.0863, -0.0118, -28.5455, -18.8182, -26.5306, 0.4276, 4.2678, 150.3118, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.097, -0.7845, 0.0785, 10.5127, -0.0035, 0.0870, -0.0095, -28.6364, -18.7273, -26.7347, 0.2122, 4.2364, 150.2470, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.118, -0.8238, 0.0785, 10.5127, -0.0041, 0.0878, -0.0096, -28.6364, -18.7273, -26.7347, 0.4276, 4.4803, 150.6643, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.137, -0.8630, 0.0785, 10.5912, -0.0027, 0.0874, -0.0131, -28.6364, -18.7273, -26.7347, 0.2138, 4.6928, 150.5402, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.158, -0.7845, 0.1177, 10.5520, -0.0035, 0.0874, -0.0121, -28.6364, -18.7273, -26.7347, 0.2122, 4.2364, 150.2470, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.185, -0.8238, 0.1177, 10.4735, -0.0032, 0.0880, -0.0098, -28.1818, -18.9091, -26.8367, 0.6437, 4.4969, 150.3691, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.206, -0.8630, 0.1177, 10.4343, -0.0029, 0.0858, -0.0127, -28.1818, -18.9091, -26.8367, 0.6462, 4.7277, 150.5200, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.225, -0.8238, 0.0785, 10.5912, -0.0046, 0.0893, -0.0116, -28.1818, -18.9091, -26.8367, 0.4244, 4.4473, 150.0676, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.252, -0.8630, 0.0392, 10.5127, -0.0035, 0.0887, -0.0131, -28.4545, -18.7273, -26.7347, 0.4292, 4.7102, 150.6759, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.271, -0.7845, 0.1177, 10.4735, -0.0029, 0.0875, -0.0148, -28.4545, -18.7273, -26.7347, 0.6390, 4.6752, 150.9092, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.292, -0.8238, 0.0785, 10.5127, -0.0029, 0.0890, -0.0122, -28.4545, -18.7273, -26.7347, 0.2138, 4.2679, 150.1313, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.317, -0.8630, 0.0392, 10.6304, -0.0031, 0.0870, -0.0144, -28.1818, -19.0909, -26.7347, 0.4276, 4.4803, 149.8363, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.338, -0.7845, 0.0785, 10.4735, -0.0037, 0.0863, -0.0093, -28.1818, -19.0909, -26.7347, 0.2170, 4.5480, 149.6264, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.357, -0.7453, 0.0392, 10.4343, -0.0037, 0.0877, -0.0105, -28.1818, -19.0909, -26.7347, 0.4276, 4.2678, 149.6966, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.384, -0.7845, 0.0785, 10.4343, -0.0031, 0.0857, -0.0116, -28.0909, -19.0000, -26.8367, 0.4308, 4.2997, 149.7867, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.403, -0.8630, 0.0785, 10.4343, -0.0038, 0.0875, -0.0078, -28.0909, -19.0000, -26.8367, 0.4308, 4.7279, 150.0672, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.424, -0.8238, 0.0000, 10.4735, -0.0017, 0.0924, -0.0150, -28.0909, -19.0000, -26.8367, 0.0000, 4.4972, 149.3945, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.448, -0.8238, 0.0392, 10.4735, -0.0032, 0.0896, -0.0098, -28.2727, -19.0909, -26.6327, 0.6390, 4.4636, 150.1369, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.469, -0.9022, 0.0785, 10.5127, -0.0027, 0.0918, -0.0102, -28.2727, -19.0909, -26.6327, 0.6366, 5.0793, 150.5225, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.489, -0.7845, 0.0392, 10.5127, -0.0031, 0.0878, -0.0118, -28.2727, -19.0909, -26.6327, 0.4260, 4.4637, 149.8791, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.515, -0.8238, 0.1177, 10.3951, -0.0041, 0.0878, -0.0096, -28.4545, -19.1818, -26.7347, 0.6486, 4.5307, 150.2236, 4216.4736, 7148.4175, 183.80, 0.41, 127.65, 3
1.537, -0.8630, 0.0392, 10.5127, -0.0031, 0.0907, -0.0105, -28.4545, -19.1818, -26.7347, 0.2138, 4.6928, 149.8051, 4216.4741, 7148.4170, 183.80, 0.41, 127.65, 3
1.556, -0.8630, 0.1177, 10.5127, -0.0041, 0.0867, -0.0127, -28.4545, -19.1818, -26.7347, 0.6462, 4.7277, 150.3456, 4216.4741, 7148.4170, 183.80, 0.41, 127.65, 3
1.576, -0.8630, 0.0785, 10.5127, -0.0053, 0.0915, -0.0095, -28.0909, -19.0909, -26.7347, 0.4228, 4.6410, 149.8656, 4216.4741, 7148.4170, 183.80, 0.41, 127.65, 3
1.604, -0.8630, 0.1177, 10.4735, -0.0040, 0.0913, -0.0115, -28.0909, -19.0909, -26.7347, 0.6437, 4.7101, 150.1784, 4216.4741, 7148.4170, 183.80, 0.31, 96.17, 3
1.624, -0.8238, 0.0392, 10.4735, -0.0038, 0.0867, -0.0110, -28.0909, -19.0909, -26.7347, 0.2146, 4.4971, 149.5197, 4216.4741, 7148.4170, 183.80, 0.31, 96.17, 3
1.644, -0.7845, 0.0000, 10.3558, -0.0038, 0.0901, -0.0096, -28.3636, -19.0000, -26.7347, 0.0000, 4.3323, 149.4841, 4216.4741, 7148.4170, 183.80, 0.31, 96.17, 3
1.670, -0.8238, 0.1177, 10.4735, -0.0027, 0.0895, -0.0148, -28.3636, -19.0000, -26.7347, 0.8681, 5.1938, 151.0761, 4216.4741, 7148.4170, 183.80, 0.31, 96.17, 3
1.691, -0.8630, 0.1177, 10.5520, -0.0024, 0.0889, -0.0119, -28.3636, -19.0000, -26.7347, 0.4276, 4.2678, 149.9579, 4216.4746, 7148.4170, 183.80, 0.31, 96.17, 3
1.711, -0.7845, 0.1177, 10.5520, -0.0020, 0.0832, -0.0084, -28.2727, -18.8182, -26.3265, 0.2130, 4.6755, 150.0803, 4216.4746, 7148.4170, 183.80, 0.31, 96.17, 3
1.739, -0.8238, 0.0000, 10.5127, -0.0035, 0.0881, -0.0090, -28.2727, -18.8182, -26.3265, 0.6486, 4.7454, 150.6450, 4216.4746, 7148.4170, 183.80, 0.31, 96.17, 3
1.761, -0.9022, 0.0785, 10.6696, -0.0049, 0.0883, -0.0122, -28.2727, -18.8182, -26.3265, 0.2154, 3.8712, 149.5601, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.780, -0.8238, 0.0785, 10.5520, -0.0037, 0.0895, -0.0151, -28.5455, -18.7273, -26.5306, 0.6390, 4.6752, 150.9456, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.807, -0.8630, 0.0392, 10.4735, -0.0027, 0.0841, -0.0118, -28.5455, -18.7273, -26.5306, 0.4244, 4.6581, 150.6761, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.826, -0.7453, 0.1177, 10.5520, -0.0044, 0.0845, -0.0064, -28.5455, -18.7273, -26.5306, 0.6486, 4.3158, 150.7328, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.846, -0.8238, 0.0392, 10.4343, -0.0034, 0.0890, -0.0101, -28.4545, -18.8182, -26.4286, 0.2162, 4.7457, 150.2795, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.872, -0.7845, 0.0785, 10.4735, -0.0035, 0.0886, -0.0108, -28.4545, -18.8182, -26.4286, 0.4292, 4.2837, 150.2413, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.892, -0.9022, 0.1177, 10.3558, -0.0008, 0.0852, -0.0128, -28.4545, -18.8182, -26.4286, 0.6511, 4.9788, 150.9419, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.912, -0.8630, 0.0785, 10.4343, -0.0046, 0.0851, -0.0087, -28.4545, -18.8182, -26.4286, 0.4308, 4.7279, 150.5386, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.938, -0.8238, 0.1177, 10.5127, -0.0026, 0.0895, -0.0119, -28.0909, -18.6364, -26.7347, 0.0000, 4.7457, 150.0274, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.957, -0.8630, 0.0785, 10.4735, -0.0024, 0.0858, -0.0124, -28.0909, -18.6364, -26.7347, 0.2122, 4.0253, 149.8101, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.978, -0.7845, 0.0785, 10.4735, -0.0020, 0.0863, -0.0130, -28.0909, -18.6364, -26.7347, 0.4213, 3.9957, 150.0488, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
1.997, -0.8238, 0.0392, 10.5127, -0.0047, 0.0872, -0.0098, -28.2727, -18.8182, -27.0408, 0.6462, 4.7277, 150.7411, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.023, -0.7845, 0.1177, 10.4735, -0.0047, 0.0880, -0.0119, -28.2727, -18.8182, -27.0408, 0.6437, 4.2835, 150.4516, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.043, -0.7453, 0.0785, 10.4735, -0.0035, 0.0895, -0.0111, -28.2727, -18.8182, -27.0408, 0.4292, 4.0703, 150.0432, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.063, -0.8238, 0.0785, 10.4343, -0.0041, 0.0874, -0.0137, -28.1818, -19.0000, -26.7347, 0.4308, 4.5139, 149.9832, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.089, -0.8238, 0.1177, 10.5912, -0.0020, 0.0904, -0.0128, -28.1818, -19.0000, -26.7347, 0.4260, 4.6754, 150.0818, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.109, -0.8238, 0.0785, 10.4343, -0.0047, 0.0863, -0.0092, -28.1818, -19.0000, -26.7347, 0.2154, 4.0856, 149.4378, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.129, -0.8238, 0.0785, 10.3558, -0.0035, 0.0867, -0.0102, -27.9091, -19.0000, -27.1429, 0.2114, 4.2208, 149.3615, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.155, -0.8630, 0.0785, 10.5127, -0.0031, 0.0874, -0.0125, -27.9091, -19.0000, -27.1429, 0.4276, 4.6927, 149.9462, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.174, -0.8238, 0.0392, 10.5520, -0.0027, 0.0861, -0.0115, -27.9091, -19.0000, -27.1429, 0.2130, 4.4638, 149.5289, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.195, -0.8238, 0.0392, 10.5127, -0.0041, 0.0866, -0.0108, -28.2727, -19.0909, -26.8367, 0.2138, 4.4804, 149.6614, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.221, -0.6669, 0.1569, 10.5520, -0.0034, 0.0907, -0.0137, -28.2727, -19.0909, -26.8367, 0.8519, 4.0398, 150.1531, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.241, -0.6669, 0.0392, 10.3558, -0.0023, 0.0845, -0.0121, -28.2727, -19.0909, -26.8367, 0.2170, 4.3323, 149.5675, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.260, -0.8238, 0.1177, 10.4735, -0.0046, 0.0889, -0.0157, -28.4545, -19.1818, -26.8367, 0.6437, 4.4969, 150.2113, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.289, -0.7453, 0.1177, 10.5127, -0.0037, 0.0867, -0.0128, -28.4545, -19.1818, -26.8367, 0.2138, 4.2679, 149.5411, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.309, -0.9022, 0.0785, 10.5520, -0.0029, 0.0858, -0.0102, -28.4545, -19.1818, -26.8367, 0.6390, 4.0400, 149.9077, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.329, -0.8238, 0.0785, 10.4735, -0.0038, 0.0884, -0.0110, -28.1818, -19.0909, -26.6327, 0.4292, 4.0703, 149.5535, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.355, -0.8630, 0.0785, 10.5912, -0.0034, 0.0852, -0.0098, -28.1818, -19.0909, -26.6327, 0.4244, 4.6581, 149.9333, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.375, -0.8238, 0.0785, 10.4735, -0.0038, 0.0887, -0.0078, -28.1818, -19.0909, -26.6327, 0.4292, 4.4970, 149.8348, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.395, -0.8630, 0.0392, 10.4735, -0.0037, 0.0858, -0.0108, -28.1818, -19.0000, -26.5306, 0.2130, 4.6755, 149.7973, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.415, -0.7453, 0.0392, 10.4735, -0.0023, 0.0840, -0.0108, -28.1818, -19.0000, -26.5306, 0.2162, 4.1010, 149.4241, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.441, -0.8238, 0.1569, 10.4735, -0.0023, 0.0863, -0.0104, -28.1818, -19.0000, -26.5306, 0.8583, 4.4966, 150.4628, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.460, -0.8630, 0.1569, 10.4735, -0.0040, 0.0872, -0.0096, 0.0000, 0.0000, 0.0000, 0.8583, 4.7098, 150.7125, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.479, -0.7845, 0.0392, 10.5520, -0.0041, 0.0861, -0.0090, -28.4545, -19.0909, -26.7347, 0.4324, 4.7456, 150.2197, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.505, -0.8238, 0.0785, 10.4735, -0.0038, 0.0892, -0.0121, -28.4545, -19.0909, -26.7347, 0.6486, 4.5307, 150.3444, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.525, -0.8630, 0.0785, 10.5520, -0.0035, 0.0843, -0.0078, -28.4545, -19.0909, -26.7347, 0.6462, 4.2996, 150.4364, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.545, -0.7845, 0.0392, 10.5127, -0.0021, 0.0886, -0.0118, -28.4545, -18.9091, -26.7347, 0.4292, 4.7102, 150.4341, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.571, -0.8238, 0.0392, 10.3951, -0.0040, 0.0903, -0.0115, -28.4545, -18.9091, -26.7347, 0.2162, 4.5309, 150.0631, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.591, -0.7845, 0.0392, 10.4735, -0.0041, 0.0866, -0.0107, -28.4545, -18.9091, -26.7347, 0.2146, 4.2838, 149.9006, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.611, -0.8238, 0.0392, 10.5520, -0.0031, 0.0880, -0.0156, -28.1818, -18.7273, -26.6327, 0.2130, 4.4638, 150.0367, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.636, -0.7453, 0.0392, 10.5127, -0.0012, 0.0854, -0.0101, -28.1818, -18.7273, -26.6327, 0.6390, 4.0400, 150.2814, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.657, -0.8630, 0.1569, 10.5520, -0.0026, 0.0866, -0.0107, -28.1818, -18.7273, -26.6327, 0.2114, 4.6411, 150.1495, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.676, -0.8238, 0.0785, 10.4343, -0.0027, 0.0874, -0.0142, -28.2727, -18.8182, -26.7347, 0.6437, 4.4969, 150.5447, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.703, -0.8630, 0.1177, 10.5912, -0.0046, 0.0870, -0.0122, -28.2727, -18.8182, -26.7347, 0.6366, 4.6580, 150.6383, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.722, -0.8630, 0.1177, 10.5127, -0.0044, 0.0887, -0.0125, -28.2727, -18.8182, -26.7347, 0.6413, 4.6926, 150.6660, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.743, -0.8630, 0.0785, 10.5912, -0.0027, 0.0869, -0.0093, -28.1818, -19.0000, -26.7347, 0.4244, 4.6581, 150.0688, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.762, -0.9022, 0.0392, 10.4343, -0.0050, 0.0874, -0.0087, -28.1818, -19.0000, -26.7347, 0.2154, 4.9418, 149.9992, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.789, -0.7845, 0.0392, 10.4735, -0.0037, 0.0869, -0.0108, -28.1818, -19.0000, -26.7347, 0.4276, 4.0551, 149.6766, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.808, -0.9022, 0.0785, 10.4735, -0.0037, 0.0899, -0.0098, -28.2727, -18.9091, -27.0408, 0.2106, 4.4148, 149.8816, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.829, -0.8238, 0.1177, 10.5912, -0.0043, 0.0892, -0.0110, -28.2727, -18.9091, -27.0408, 0.4182, 4.3826, 150.1151, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
2.857, -0.8238, 0.0785, 10.4735, -0.0031, 0.0875, -0.0131, -28.2727, -18.9091, -27.0408, 0.2179, 4.7816, 150.1303, 4216.4746, 7148.4170, 183.80, 0.28, 70.29, 3
